Watchlist Scanner

Results
Symbol,MovAvgExponential
ABCM,22.54
ACCD,25.16
ADTN,21.67
AEHR,18.61
AFCG,21.27
AGNC,15.29
ALEX,24.2
ALKT,20.15
AMBC,15.17
AMKR,22.89
AMPH,22.24
ANGO,27.0
APLE,15.81
APTS,15.79
ARCC,20.33
ARCE,21.47
ARQT,18.18
ARRY,16.63
ATEN,15.9
ATOM,20.85
AUID,15.92
AUPH,21.97
AVYA,19.71
BCOR,17.21
BGFV,19.05
BHLB,28.08
BLMN,20.14
BPMP,14.52
BRBR,26.52
BRDG,22.8
BRKL,15.74
BRLT,15.86
BSAC,16.52
BSIG,26.29
CADE,29.2
CAPE,22.37
CARS,16.19
CCRN,27.15
CDRE,21.19
CEIX,23.42
CENX,15.39
CEQP,25.49
CERT,28.57
CHPT,19.32
CMBM,24.95
CNHI,18.35
CODI,30.26
COLL,19.04
CONN,20.18
COUR,24.95
CRNX,26.02
CSII,19.47
CSTM,17.6
CTRA,19.84
CTRE,22.11
CVBF,21.25
CVET,18.93
CVLG,24.06
CWAN,21.15
DAWN,16.8
DENN,15.32
DICE,24.35
DLHC,17.31
DZSI,14.52
ECOM,24.55
ELAN,28.61
EPAC,20.85
EPRT,27.65
EQNR,27.04
ERII,20.9
ESEA,22.7
EVOP,24.05
EWCZ,28.24
EXTR,14.48
FCPT,28.54
FFBC,23.97
FFWM,25.08
FINS,16.47
FLEX,17.49
FLNG,21.82
FLWS,22.95
FMBI,19.93
FORG,25.38
FRTA,23.85
FTAI,27.09
FTHY,20.19
FULT,16.61
FWRG,16.64
GAIN,16.48
GIII,27.11
GMRE,17.03
GOOD,24.19
GRBK,29.57
GRIN,14.99
GTES,15.52
HAYW,24.51
HBAN,15.18
HBMD,21.36
HESM,26.6
HMHC,15.89
HNGR,17.36
HOMB,24.19
HRZN,15.97
HSBC,29.5
HTGC,16.4
HTLD,16.63
IHRT,20.38
IIIV,22.41
ILPT,23.74
IMGO,22.06
IMXI,15.8
INFY,24.25
INTA,24.66
INVA,17.31
INVE,24.26
IONQ,17.45
JBGS,28.5
JELD,25.22
JRVR,26.7
KDNY,16.1
KNBE,23.27
KREF,21.05
LASR,24.61
LAZY,20.46
LEVI,24.46
LMNR,15.29
LNTH,28.47
LTHM,24.98
LWLG,17.11
MCFE,25.73
MDRX,18.13
MGTX,21.64
MIRM,15.26
MITK,16.86
MLNK,21.25
MMYT,28.04
MNDT,17.21
MNRL,21.01
MNTV,20.48
MODN,29.28
MPLX,28.82
MRTN,16.59
MTLS,24.3
MTOR,24.44
MTTR,23.45
MYGN,26.46
NAPA,22.2
NFBK,16.39
NLOK,25.53
NLSN,20.6
NMRK,16.79
NPTN,15.2
NTGR,29.12
NTST,21.71
NVTS,15.52
NXGN,17.39
OCFC,21.7
OLPX,26.02
OPRT,20.92
OYST,15.05
PAAS,24.48
PBCT,17.34
PDCO,28.74
PERI,23.28
PETQ,22.18
PETS,26.42
PGTI,21.83
PHAT,19.4
PING,23.13
PLBY,29.55
POLY,28.94
PRIM,23.85
PRMW,17.35
PRVA,24.63
PWSC,17.64
QNST,18.02
REZI,25.79
RLGY,16.5
RMBS,28.59
ROAD,30.4
ROCC,27.19
ROIC,18.78
RUTH,19.48
SBLK,20.61
SBOW,22.52
SEMR,20.31
SFNC,29.28
SIBN,20.88
SITC,15.1
SKIN,22.86
SKYT,15.77
SLVM,28.27
SNDR,25.94
SPTN,25.19
SPWR,21.35
SRAD,18.29
SRRK,25.41
SSYS,24.14
STAR,24.52
STLA,18.67
