Watchlist Scanner

Results
Symbol,MovAvgExponential
ABCM,22.82
ADPT,27.32
ADTN,22.11
AEHR,20.14
AFCG,21.83
AHCO,22.68
ALKS,23.49
ALKT,20.12
AMKR,23.44
AMPH,22.47
ATHM,27.98
ATLO,24.24
BAFN,23.68
BASE,23.81
BKSC,20.32
BMEZ,24.61
BSVN,22.72
CBFV,24.07
CIVB,24.36
CMTL,23.8
COFS,25.69
CONN,20.96
CRSR,21.66
CSTR,20.53
CTDD,25.53
CTRA,19.89
CTRE,22.34
CVCY,20.98
CVLG,24.77
CVLY,21.61
CZNC,25.84
DICE,24.45
DKNG,28.36
DLHC,18.27
EBMT,22.63
ESBK,22.85
ESEA,23.21
ETpE,25.2
EVOP,24.37
FCCY,25.31
FFIC,24.17
FHTX,19.97
FLNG,22.06
FLXS,26.1
FNWB,19.81
FRSH,26.63
FRTA,23.85
FSFG,25.55
FXNC,22.67
GBLI,25.29
GOOD,24.58
HAFC,23.0
HBMD,21.53
HBNC,20.75
HMNF,24.48
HOFT,22.57
HTIA,25.35
IBCP,23.35
ICVX,22.78
IDYA,22.88
ILPT,24.26
INFY,24.64
INTA,24.76
ISIG,16.2
ITRN,25.96
LAKE,21.06
LAZY,20.63
LEGH,25.76
LRFC,23.28
MBCN,25.01
MGTX,22.27
MNSB,23.74
MNTV,20.77
MOLN,19.17
MRLN,23.13
MSpL,26.42
MTLS,24.28
NAVI,21.29
NLOK,25.79
OCDX,20.07
OCFC,21.9
OLPX,26.27
OPOF,22.63
ORRF,24.43
PCVX,22.96
PDEX,23.56
PERI,23.39
PETS,26.28
PINE,19.39
PKBK,20.94
PLBY,28.36
PMVP,23.21
PNTG,21.37
PWOD,23.73
QFIN,21.3
RELY,20.44
RGCO,22.17
RIOT,24.48
SATS,26.23
SBGI,25.94
SBLK,20.85
SEER,23.0
SHBI,20.34
SIBN,21.16
SKIN,23.08
SPTN,25.54
SPWR,20.99
SRRK,25.43
SSYS,24.07
STER,20.18
STOK,21.42
STRL,26.36
SWIM,24.12
TBBK,25.1
TBNK,24.93
TCOM,23.5
TGLS,26.24
TVTY,25.76
TWNK,19.83
TWOU,20.75
UFCS,23.44
UNTY,25.82
VERA,23.29
WSBF,21.69
ZEUS,22.8
