Watchlist Scanner,,,,,,,,,
,,,,,,,,,
Results,,,,,,,,,
Symbol,MovAvgExponential,Close,1%gain,Gain,AvgGain,Avg1%Gain,AvgRisk,AvgTotalInitialStocks,totalMinAvgProfit
AADI,23.63,24.51,24.7551,24.51,24.81559701,24.81559701,2481.559701,12,297.7871642
ACAD,22.86,23.05,23.2805,23.05,,,,,
AIRT,25.72,26.55,26.8155,26.55,,,,,
AKRO,21.06,22.26,22.4826,22.26,,,,,
ALBO,25.77,27.14,27.4114,27.14,,,,,
ALKS,24.44,25.25,25.5025,25.25,,,,,
AMKR,24.44,24.99,25.2399,24.99,,,,,
AMPH,24.7,25.37,25.6237,25.37,,,,,
BANC,21.02,21.86,22.0786,21.86,,,,,
BLNK,24.3,23.38,23.6138,23.38,,,,,
BRBR,26.16,25.92,26.1792,25.92,,,,,
CCCC,29.26,27.54,27.8154,27.54,,,,,
CCNE,27.54,28,28.28,28,,,,,
CDMO,22.87,20.97,21.1797,20.97,,,,,
CDRE,21.74,21.58,21.7958,21.58,,,,,
CERE,29.2,27.57,27.8457,27.57,,,,,
CRCT,22.66,22.42,22.6442,22.42,,,,,
CSIQ,29.25,28.25,28.5325,28.25,,,,,
CTRA,21.44,22.2,22.422,22.2,,,,,
CVEO,19.99,20.56,20.7656,20.56,,,,,
CZNC,26.79,27.06,27.3306,27.06,,,,,
DXPE,25.86,26.03,26.2903,26.03,,,,,
EDIT,24.28,22.1,22.321,22.1,,,,,
ESEA,25.93,27.76,28.0376,27.76,,,,,
FMBI,21.92,22.55,22.7755,22.55,,,,,
FRSH,23.64,23.1,23.331,23.1,,,,,
FTCH,28.94,27.2,27.472,27.2,,,,,
FVCB,20.06,20.435,20.63935,20.435,,,,,
HAFC,25.62,26.72,26.9872,26.72,,,,,
HBMD,24.19,25.12,25.3712,25.12,,,,,
HBNC,21.98,23.25,23.4825,23.25,,,,,
HFWA,26.22,27.18,27.4518,27.18,,,,,
IBCP,25.13,25.83,26.0883,25.83,,,,,
IGMS,24.23,21.88,22.0988,21.88,,,,,
INFY,25.29,26.2,26.462,26.2,,,,,
ITRN,25.96,26.52,26.7852,26.52,,,,,
LNTH,27.31,27.29,27.5629,27.29,,,,,
MNRL,22.11,22.53,22.7553,22.53,,,,,
MRUS,28.94,28.46,28.7446,28.46,,,,,
MTOR,25.96,27.2,27.472,27.2,,,,,
MYGN,26.57,27.79,28.0679,27.79,,,,,
NMIH,24.37,25.56,25.8156,25.56,,,,,
NOMD,26.19,26.54,26.8054,26.54,,,,,
NRIX,25.04,23.24,23.4724,23.24,,,,,
ORRF,25.27,25.65,25.9065,25.65,,,,,
PAHC,20.75,21.07,21.2807,21.07,,,,,
PBCT,20.29,21.42,21.6342,21.42,,,,,
PDEX,24.43,25.13,25.3813,25.13,,,,,
PDFS,28.75,28.11,28.3911,28.11,,,,,
PETQ,21.16,20.54,20.7454,20.54,,,,,
PING,21.17,20.41,20.6141,20.41,,,,,
PRIM,25.89,27.39,27.6639,27.39,,,,,
REPL,25.33,23.87,24.1087,23.87,,,,,
REPX,25.06,27.91,28.1891,27.91,,,,,
REZI,25.59,26.17,26.4317,26.17,,,,,
RGNX,28.79,27.96,28.2396,27.96,,,,,
RIOT,21.15,20.68,20.8868,20.68,,,,,
RVMD,24.93,26.21,26.4721,26.21,,,,,
SBLK,22.32,22.28,22.5028,22.28,,,,,
SBOW,23.42,24.34,24.5834,24.34,,,,,
SBpC,25.58,25.55,25.8055,25.55,,,,,
SIBN,22.27,22.66,22.8866,22.66,,,,,
SMBK,27.66,27.86,28.1386,27.86,,,,,
TSVT,23.33,22.5,22.725,22.5,,,,,
TVTX,27.9,27.54,27.8154,27.54,,,,,
TVTY,25.25,25.09,25.3409,25.09,,,,,
UFCS,24.47,25.39,25.6439,25.39,,,,,
