Watchlist Scanner,,,,,,,
,,,,,,,
Results,,,,,,,
Symbol,MovAvgExponential,Close,AvgClose1636,Avg300,AvgRisk300,totalRisk300,totalstocksWithAccount
AADI,23.63,24.51,10.55531485,10.26278,1026.278,307883.4,29
AAIC,3.57,3.58,,,,,
AAIN,25.04,24.92,,,,,
AATC,6.31,6.29,,,,,
ABCL,11.74,10.05,,,,,
ABOS,5.7,5.38,,,,,
ABSI,7.2,6.64,,,,,
ABST,8.48,8.08,,,,,
ABUS,3.45,3.31,,,,,
ACAD,22.86,23.05,,,,,
ACAH,9.84,9.86,,,,,
ACAQ,9.91,9.91,,,,,
ACCD,22.02,20.21,,,,,
ACCO,8.29,8.51,,,,,
ACET,15.23,14.56,,,,,
ACHR,4.6,3.96,,,,,
ACHV,8.2,8.37,,,,,
ACIU,4.86,4.82,,,,,
ACOR,2.28,2.16,,,,,
ACRE,14.9,15.02,,,,,
ACRS,12.15,10.81,,,,,
ACST,1.35,1.39,,,,,
ACTG,4.95,4.79,,,,,
ACXP,4.47,4.58,,,,,
ADAP,3.51,3.3,,,,,
ADCT,19.15,17.22,,,,,
ADEX,9.87,9.87,,,,,
ADIL,2.61,2.62,,,,,
ADMA,1.34,1.4,,,,,
ADPT,22.23,19.35,,,,,
ADRA,9.8,9.81,,,,,
ADTH,5.77,5.46,,,,,
ADTN,20.36,19.64,,,,,
ADVM,1.67,1.65,,,,,
AEAE,9.91,9.91,,,,,
AEHR,16.18,13.38,,,,,
AENZ,1.89,2.04,,,,,
AERI,7.71,7.55,,,,,
AESE,1.89,1.92,,,,,
AEVA,6.51,5.7,,,,,
AFAQ,9.72,9.71,,,,,
AFCG,20.58,20.5,,,,,
AFGC,26.62,26.6335,,,,,
AFGE,26.33,26.345,,,,,
AFIB,3.08,2.66,,,,,
AFMD,4.76,4.44,,,,,
AFTR,9.7,9.6937,,,,,
AGEN,3.07,3.05,,,,,
AGFY,9.3,8.63,,,,,
AGIL,5.13,4.69,,,,,
AGLE,4.35,4.55,,,,,
AGNC,15.38,15.31,,,,,
AGRO,7.56,7.53,,,,,
AGTC,1.8,1.74,,,,,
AGTI,20.57,20.08,,,,,
AHCO,22.22,20.49,,,,,
AIRS,15.41,15.1,,,,,
AIRT,25.72,26.55,,,,,
AKBA,2.24,2.2,,,,,
AKRO,21.06,22.26,,,,,
AKTS,6.2,5.89,,,,,
AKUS,8.22,8.23,,,,,
AKYA,12.85,12.41,,,,,
ALAC,11.74,11.78,,,,,
ALBO,25.77,27.14,,,,,
ALCC,9.85,9.825,,,,,
ALDX,3.89,3.78,,,,,
ALEC,18.28,17.51,,,,,
ALEX,24.38,24.25,,,,,
ALGS,5.36,3.4,,,,,
ALIT,9.98,9.54,,,,,
ALKS,24.44,25.25,,,,,
ALKT,17.75,16.26,,,,,
ALLO,13.19,13.28,,,,,
ALLR,9.71,8.99,,,,,
ALOR,9.89,9.88,,,,,
ALPA,9.66,9.66,,,,,
ALPN,10.94,10.41,,,,,
ALPP,1.75,1.69,,,,,
ALTG,14.55,14.79,,,,,
ALVR,11.21,10.4,,,,,
ALXO,19.65,18.5,,,,,
ALZN,1.9,1.79,,,,,
AMAL,17.08,17.24,,,,,
AMBC,16.03,16.45,,,,,
AMBP,8.78,8.86,,,,,
AMCR,12.16,12.37,,,,,
AMKR,24.44,24.99,,,,,
AMPH,24.7,25.37,,,,,
AMPY,3.57,3.87,,,,,
AMRN,3.41,3.52,,,,,
AMRS,4.98,4.99,,,,,
AMRX,4.7,4.64,,,,,
AMSC,9.98,9.6,,,,,
AMST,1.04,1.04,,,,,
AMWL,5.01,4.64,,,,,
AMYT,10.33,10.55,,,,,
ANEB,6.79,6.8962,,,,,
ANGI,8.46,8.21,,,,,
ANGO,23.91,22.63,,,,,
ANIX,3.24,3.41,,,,,
ANNX,8.98,8.58,,,,,
AOMR,16.99,17.25,,,,,
AOUT,17.92,17.15,,,,,
APCX,2.03,2.22,,,,,
APEI,22.64,22.6,,,,,
APLE,16.59,16.79,,,,,
APLT,4.75,3.94,,,,,
APMI,9.73,9.68,,,,,
APPH,3.98,4.02,,,,,
APRE,2.79,2.64,,,,,
APRN,6.96,7.98,,,,,
APSG,9.89,9.93,,,,,
APTO,1.38,1.34,,,,,
APTS,17.76,18.09,,,,,
APTX,2.77,2.92,,,,,
APVO,7.38,7.2203,,,,,
AQMS,1.14,1.05,,,,,
AQNA,26.62,26.59,,,,,
AQNB,26.97,26.99,,,,,
AQST,3.87,3.69,,,,,
ARBG,9.8,9.81,,,,,
ARCC,21.34,21.44,,,,,
ARDS,1.72,1.54,,,,,
ARGD,25.77,25.83,,,,,
ARHS,11.11,10.41,,,,,
ARKO,8.58,8.69,,,,,
ARLO,9.83,9.66,,,,,
ARLP,13.96,14.67,,,,,
ARMP,5.66,5.76,,,,,
AROC,8.26,8.6,,,,,
ARQQ,18.37,17.2,,,,,
ARQT,18.54,17.41,,,,,
ARRY,14.12,13.08,,,,,
ARVL,7.03,6.7,,,,,
ASAI,10.79,10.99,,,,,
ASLN,1.1,1.08,,,,,
ASMB,2.08,1.95,,,,,
ASPS,11.78,11.75,,,,,
ASRT,2.51,2.33,,,,,
ASTL,10.18,10.02,,,,,
ASTR,6.02,5.54,,,,,
