Watchlist Scanner

Results
Symbol,MovAvgExponential
ACCD,24.88
ACVA,18.57
AFCG,20.96
AHCO,22.11
ALBO,23.33
ARCE,21.09
ARQT,17.67
ATRA,16.23
BEEM,21.68
BRDG,22.26
BRLT,15.72
BTAI,22.03
CDMO,27.56
CMBM,24.56
CMPS,24.25
COUR,24.91
DICE,24.25
DSGN,17.57
ENVX,26.58
ESMT,22.83
EWCZ,27.75
EWTX,16.65
FDMT,21.34
FIGS,25.95
FLNG,21.56
FORG,24.73
FTAI,26.37
FUBO,17.15
GLUE,18.95
IMGO,21.64
INVE,23.25
ISEE,15.82
KNTE,17.56
KURA,14.62
LAZR,16.16
LTHM,24.78
NRIX,28.92
OCDX,19.6
OLPX,25.8
ONTF,17.14
OYST,14.56
PAGS,26.07
PLAB,17.38
PRAX,19.06
PRCH,17.15
RELY,20.22
REPL,27.56
RIOT,24.98
SANA,16.58
SFIX,19.23
SIBN,20.58
SKYT,15.67
SMWB,17.06
SNCY,26.37
SNDX,20.36
SRRK,25.41
STNE,16.38
STOK,20.42
TCOM,23.79
TGTX,17.9
TMCI,16.71
TMST,15.0
TWKS,26.62
UDMY,18.97
VIAC,29.87
VNDA,16.96
VTYX,15.69
WKME,19.57
XENE,28.45
ZGNX,14.65
